epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,1393.71,0.53079,3.5007,0.43387,0.4258,0.98955,0.98723,1,0.995,0.79749,0.71783,0.725,0.58493,0.16976,0.80709,3.15669,0.29719,0.41977,1.05621,0.000386147,0.000386147,0.000386147
54,1418.95,0.51137,3.47106,0.43428,0.4284,0.96153,0.98924,1,0.995,0.80663,0.71981,0.725,0.70891,0.17347,0.78696,3.06935,0.2899,0.4207,1.02793,0.000361515,0.000361515,0.000361515
55,1444.35,0.53468,3.55859,0.43018,0.42542,0.97971,0.98944,1,0.995,0.80132,0.74513,0.75,0.74525,0.20067,0.7711,2.93627,0.28607,0.42592,1.02151,0.000336883,0.000336883,0.000336883
56,1469.26,0.48958,3.42322,0.42173,0.40891,0.97323,0.98768,1,0.995,0.80495,0.74311,0.75,0.62154,0.19225,0.82915,2.91763,0.28479,0.43012,1.04712,0.000312251,0.000312251,0.000312251
57,1495,0.49333,3.43998,0.4179,0.40012,0.96864,0.98634,1,0.995,0.80339,0.4987,0.5,0.4975,0.17264,0.82259,2.89539,0.28631,0.42315,1.04272,0.00028762,0.00028762,0.00028762
58,1520.65,0.35754,3.35566,0.36533,0.37015,0.92878,0.98386,1,0.995,0.8064,0.49869,0.5,0.4975,0.12658,0.8385,3.35076,0.28685,0.421,1.04273,0.000262988,0.000262988,0.000262988
59,1545.79,0.36767,3.09866,0.35132,0.36412,0.92384,0.97904,1,0.995,0.81095,0.7384,0.75,0.62145,0.17077,0.81843,3.1629,0.28129,0.41616,1.03191,0.000238356,0.000238356,0.000238356
60,1570.93,0.35742,3.13761,0.35791,0.348,0.93148,0.9801,1,0.995,0.80213,0.73877,0.75,0.62142,0.22306,0.80173,3.02088,0.27601,0.39917,1.03422,0.000213724,0.000213724,0.000213724
61,1595.8,0.3201,2.76847,0.33537,0.32199,0.9276,0.98483,1,0.995,0.79849,0.74166,0.75,0.6214,0.22132,0.77829,3.05455,0.27678,0.41058,1.00338,0.000189093,0.000189093,0.000189093
62,1621.61,0.3311,2.79515,0.33859,0.32103,0.93776,0.98618,1,0.995,0.81168,0.98618,1,0.995,0.28646,0.73339,2.94914,0.27436,0.40667,0.9816,0.000164461,0.000164461,0.000164461
63,1646.84,0.31928,2.9178,0.33515,0.31948,0.91029,0.98568,1,0.995,0.80745,0.98568,1,0.995,0.2863,0.771,2.91762,0.2709,0.41334,0.99821,0.000139829,0.000139829,0.000139829
64,1671.8,0.28963,2.70421,0.33352,0.3093,0.90294,0.98417,1,0.995,0.8147,0.98417,1,0.995,0.26065,0.79631,2.92845,0.27217,0.4202,1.03848,0.000115197,0.000115197,0.000115197
65,1696.84,0.29806,2.65213,0.32821,0.30202,0.89915,0.98401,1,0.995,0.82786,0.98401,1,0.995,0.25024,0.77191,2.94979,0.27461,0.41486,1.03402,9.05654e-05,9.05654e-05,9.05654e-05
66,1721.77,0.28135,2.60206,0.33293,0.29875,0.89614,0.98523,1,0.995,0.82016,0.98523,1,0.995,0.25039,0.75304,2.92869,0.27318,0.41209,1.01424,6.59336e-05,6.59336e-05,6.59336e-05
67,1746.85,0.28427,2.59372,0.33182,0.30343,0.90434,0.98552,1,0.995,0.81954,0.98552,1,0.995,0.25807,0.74953,2.92184,0.27228,0.41651,1.01013,4.13018e-05,4.13018e-05,4.13018e-05
